PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
18;10;180;600;20;20;6;3;-1;3;25;2;0;5;-3;3;5;35;20

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;3;0;1;1;1

TIME;Total;Adult;Child;Infected
1;20;20;0;0
2;20;20;0;0
3;20;20;0;0
4;20;20;0;0
5;20;20;0;0
6;20;20;0;0
7;22;19;3;0
8;22;19;3;0
9;24;21;3;0
10;26;20;6;0
11;26;26;0;0
12;28;25;3;0
13;28;25;3;0
14;30;27;3;0
15;34;25;9;0

TOTAL_TIME_TICKS;Winner;Reason
3341;1;3
