PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
19;10;180;600;20;20;6;3;-1;3;25;2;0;5;-3;3;5;35;20

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;3;0;1;1;1

TIME;Total;Adult;Child;Infected
1;20;20;0;0
2;20;20;0;0
3;20;20;0;0
4;20;20;0;0
5;20;20;0;0
6;20;20;0;0
7;20;20;0;0
8;21;19;2;0
9;21;21;0;0
10;21;21;0;0
11;22;20;2;0
12;22;20;2;0
13;24;20;4;0
14;24;22;2;0
15;25;23;2;0
16;25;25;0;0
17;26;24;2;0
18;26;24;2;0
19;26;26;0;0
20;27;25;2;0
21;27;27;0;0
22;29;25;4;0
23;29;27;2;0
24;30;28;2;0
25;30;28;2;0
26;32;28;4;0
27;32;30;2;0
28;32;32;0;0
29;33;31;2;0
30;33;33;0;0
31;34;32;2;0
32;34;34;0;0
33;34;34;0;0

TOTAL_TIME_TICKS;Winner;Reason
6961;1;3
