PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
20;10;180;600;20;20;6;3;-1;3;25;2;0;5;-3;3;5;40;20

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;3;0;1;1;1

TIME;Total;Adult;Child;Infected
1;20;20;0;0
2;19;19;0;0
3;19;19;0;0
4;18;18;0;0
5;18;18;0;0
6;18;18;0;0
7;18;18;0;0
8;18;18;0;0
9;19;17;2;0
10;19;19;0;0
11;20;18;2;0
12;20;18;2;0
13;21;19;2;0
14;21;21;0;0
15;21;21;0;0
16;21;21;0;0
17;21;21;0;0
18;21;13;0;8
19;21;13;0;8
20;21;13;0;8
21;21;13;0;8
22;21;13;0;8
23;21;13;0;8
24;19;13;0;6
25;19;13;0;6
26;19;13;0;6
27;19;13;0;6
28;19;13;0;6
29;19;13;0;6
30;20;12;2;6
31;20;12;2;6
32;20;14;0;6
33;20;14;0;6
34;20;14;0;6
35;21;13;2;6
36;21;15;0;6
37;21;15;0;6
38;22;14;2;6
39;22;14;2;6
40;22;16;0;6
41;22;16;0;6
42;23;15;2;6
43;23;17;0;6
44;23;17;0;6
45;23;17;0;6
46;24;16;2;6
47;24;18;0;6
48;24;18;0;6
49;25;17;2;6
50;25;19;0;6
51;25;19;0;6
52;25;18;2;5
53;24;18;2;4
54;23;20;0;3
55;23;19;2;2
56;23;21;0;2
57;23;21;0;2
58;23;21;0;2
59;23;21;0;2
60;24;20;2;2
61;24;20;2;2
62;24;22;0;2
63;24;22;0;2
64;24;22;0;2
65;24;22;0;2
66;24;22;0;2
67;24;22;0;2
68;25;21;2;2
69;25;23;0;2
70;27;21;4;2
71;27;21;4;2
72;28;24;2;2
73;28;26;0;2
74;28;23;0;5
75;29;22;2;5
76;29;24;0;5
77;29;24;0;5
78;30;23;2;5
79;30;23;2;5
80;30;25;0;5
81;31;24;2;5
82;31;24;2;5
83;31;26;0;5
84;31;26;0;5
85;32;25;2;5
86;32;27;0;5
87;32;27;0;5
88;32;27;0;5
89;32;27;0;5
90;32;27;0;5
91;32;27;0;5
92;32;22;0;10
93;32;22;0;10
94;32;19;0;13
95;32;13;0;19
96;32;13;0;19
97;32;13;0;19
98;32;13;0;19
99;33;12;2;19
100;33;12;2;19
101;34;13;2;19
102;34;13;2;19
103;33;15;0;18
104;33;14;2;17
105;33;14;2;17
106;35;14;4;17
107;35;14;4;17
108;35;18;0;17
109;35;16;0;19
110;35;16;0;19

TOTAL_TIME_TICKS;Winner;Reason
22385;2;2
