PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
26;10;120;600;20;20;5;3;-1;3;25;2;4;3;3;3;5;40;20

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;6;0;2;2;2

TIME;Total;Adult;Child;Infected
1;20;20;0;0
2;20;20;0;0
3;20;20;0;0
4;20;20;0;0
5;20;20;0;0
6;19;19;0;0
7;19;19;0;0
8;19;19;0;0
9;20;18;2;0
10;20;18;2;0
11;20;18;2;0
12;18;18;0;0
13;18;18;0;0
14;18;18;0;0
15;18;18;0;0
16;17;17;0;0
17;17;15;0;2
18;17;14;0;3
19;17;13;0;4
20;17;12;2;3
21;17;15;2;0
22;17;15;2;0
23;17;17;0;0
24;16;16;0;0
25;16;16;0;0
26;17;15;2;0
27;18;14;4;0
28;18;14;4;0
29;18;16;2;0
30;18;18;0;0
31;18;18;0;0
32;18;18;0;0
33;19;14;3;2
34;17;14;1;2
35;16;12;0;4
36;15;11;0;4
37;15;11;0;4
38;15;11;0;4
39;15;11;0;4
40;15;11;0;4
41;15;11;0;4
42;15;13;0;2
43;15;13;0;2
44;15;13;0;2
45;16;12;2;2
46;15;12;2;1
47;15;13;2;0
48;14;14;0;0
49;14;14;0;0
50;15;13;2;0
51;15;13;2;0
52;15;13;2;0
53;16;13;2;1
54;15;12;2;1
55;15;9;2;4
56;15;14;0;1
57;16;13;2;1
58;16;13;2;1
59;16;13;2;1
60;16;15;0;1
61;16;12;0;4
62;16;12;0;4
63;16;12;0;4
64;15;12;0;3
65;15;12;0;3
66;14;12;0;2
67;14;12;0;2
68;15;11;2;2
69;15;8;2;5
70;15;8;2;5
71;15;10;0;5
72;15;8;2;5
73;14;9;1;4
74;13;9;0;4
75;13;9;0;4
76;13;10;0;3
77;14;9;2;3
78;13;8;2;3
79;13;8;2;3
80;13;12;0;1
81;13;12;0;1
82;13;12;0;1
83;13;12;0;1
84;13;12;0;1
85;13;12;0;1
86;13;10;0;3
87;13;10;0;3
88;12;9;0;3
89;12;10;0;2
90;12;11;0;1
91;12;11;0;1
92;13;10;2;1
93;13;7;2;4
94;13;7;2;4
95;13;11;0;2
96;13;12;0;1
97;13;12;0;1
98;13;12;0;1
99;14;11;2;1
100;13;10;2;1
101;13;10;2;1
102;14;11;2;1
103;14;11;2;1
104;15;10;4;1
105;14;11;2;1
106;14;11;2;1
107;14;11;2;1
108;14;13;0;1
109;15;12;2;1
110;14;12;1;1
111;13;12;0;1
112;13;12;0;1
113;13;9;0;4
114;12;8;0;4
115;12;11;0;1
116;11;10;0;1
117;11;10;0;1
118;11;10;0;1
119;12;9;2;1
120;10;9;0;1
121;10;9;0;1
122;10;9;0;1
123;10;9;0;1
124;10;9;0;1
125;10;9;0;1
126;10;9;0;1
127;9;8;0;1
128;9;8;0;1
129;9;7;0;2
130;9;6;0;3

TOTAL_TIME_TICKS;Winner;Reason
26221;2;1
