PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
30;10;120;600;25;15;5;3;-1;3;25;2;4;3;3;2;5;30;15

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;3;0;1;1;1

TIME;Total;Adult;Child;Infected
1;15;15;0;0
2;15;15;0;0
3;15;15;0;0
4;15;15;0;0
5;16;14;2;0
6;16;14;2;0
7;16;14;2;0
8;16;16;0;0
9;16;16;0;0
10;16;16;0;0
11;17;15;2;0
12;17;15;2;0
13;17;15;2;0
14;17;17;0;0
15;18;16;2;0
16;18;16;2;0
17;19;15;4;0
18;19;17;2;0
19;19;17;2;0
20;20;18;2;0
21;20;18;2;0
22;21;17;4;0
23;22;18;4;0
24;22;18;4;0
25;22;20;2;0
26;24;20;4;0
27;22;20;2;0
28;22;20;2;0
29;22;22;0;0
30;22;22;0;0
31;22;22;0;0
32;22;22;0;0
33;22;22;0;0
34;22;22;0;0
35;23;21;2;0
36;23;21;2;0
37;23;21;2;0
38;23;23;0;0
39;23;23;0;0
40;23;23;0;0
41;23;23;0;0
42;24;22;2;0
43;24;21;3;0
44;24;21;3;0
45;24;20;4;0
46;24;22;2;0
47;24;22;2;0
48;24;24;0;0
49;25;23;2;0
50;25;23;2;0
51;25;23;2;0
52;27;23;4;0
53;27;23;4;0
54;28;22;6;0
55;28;19;2;7
56;28;17;2;9
57;27;18;0;9
58;25;18;0;7
59;22;18;0;4
60;20;18;0;2
61;20;18;0;2
62;21;17;2;2
63;21;17;2;2
64;21;17;2;2
65;20;18;0;2
66;21;17;2;2
67;21;17;2;2
68;21;17;2;2
69;22;18;2;2
70;20;18;0;2
71;20;12;0;8
72;20;12;0;8
73;20;12;0;8
74;20;12;0;8
75;20;12;0;8
76;20;12;0;8
77;21;11;2;8
78;21;11;2;8
79;21;11;2;8
80;22;12;2;8
81;22;12;2;8
82;23;11;4;8
83;23;13;2;8
84;23;13;2;8
85;23;15;0;8
86;23;15;0;8
87;23;15;0;8
88;24;14;2;8
89;24;14;2;8
90;24;14;2;8
91;24;16;0;8
92;24;16;0;8
93;24;16;0;8
94;24;16;0;8
95;24;16;0;8
96;26;14;4;8
97;26;14;4;8
98;26;14;4;8
99;26;18;0;8
100;27;17;2;8
101;27;17;2;8
102;28;16;4;8
103;28;18;2;8
104;28;18;2;8
105;28;20;0;8
106;28;20;0;8
107;28;20;0;8
108;28;20;0;8
109;28;19;2;7
110;28;19;2;7
111;26;19;2;5
112;25;21;0;4
113;22;21;0;1
114;23;20;2;1
115;22;19;2;1
116;22;19;2;1
117;22;17;2;3
118;23;18;2;3
119;23;18;2;3
120;23;18;2;3
121;23;17;0;6
122;23;17;0;6
123;23;17;0;6
124;23;17;0;6
125;23;17;0;6
126;23;17;0;6
127;23;17;0;6
128;23;17;0;6
129;23;17;0;6
130;24;16;2;6
131;24;16;2;6
132;24;16;2;6
133;24;18;0;6
134;25;17;2;6
135;25;17;2;6
136;25;17;2;6
137;25;19;0;6
138;27;17;4;6
139;27;17;4;6
140;28;19;6;3
141;29;22;4;3
142;29;21;5;3
143;30;22;5;3
144;30;23;4;3
145;31;24;4;3
146;31;26;2;3
147;31;26;2;3
148;31;28;0;3
149;31;28;0;3

TOTAL_TIME_TICKS;Winner;Reason
30061;1;3
