PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
27;10;120;600;20;20;5;3;-1;3;25;2;4;3;3;3;5;40;20

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;6;0;2;2;2

TIME;Total;Adult;Child;Infected
1;20;20;0;0
2;20;20;0;0
3;20;20;0;0
4;20;20;0;0
5;20;20;0;0
6;19;19;0;0
7;20;18;2;0
8;20;18;2;0
9;20;18;2;0
10;20;20;0;0
11;21;19;2;0
12;20;18;2;0
13;20;18;2;0
14;20;20;0;0
15;21;19;2;0
16;20;19;1;0
17;18;18;0;0
18;18;18;0;0
19;18;18;0;0
20;19;17;2;0
21;18;16;2;0
22;18;16;2;0
23;18;16;2;0
24;18;14;0;4
25;19;13;2;4
26;18;12;2;4
27;18;12;2;4
28;18;14;0;4
29;19;13;2;4
30;20;12;4;4
31;21;11;6;4
32;23;9;6;8
33;21;9;4;8
34;19;8;4;7
35;19;14;0;5
36;20;15;2;3
37;20;15;2;3
38;21;14;4;3
39;21;16;2;3
40;21;16;2;3
41;22;17;2;3
42;22;15;4;3
43;22;15;4;3
44;21;16;2;3
45;21;18;0;3
46;21;18;0;3
47;23;16;4;3
48;24;15;6;3
49;24;15;6;3
50;24;19;2;3
51;21;19;2;0
52;21;17;4;0
53;21;17;4;0
54;20;19;1;0
55;21;19;2;0
56;20;19;1;0
57;20;19;1;0
58;20;20;0;0
59;21;19;2;0
60;21;19;2;0
61;22;18;4;0
62;22;20;2;0
63;21;19;2;0
64;22;18;4;0
65;22;17;5;0
66;21;19;2;0
67;22;18;4;0
68;22;20;2;0
69;22;17;2;3
70;22;17;2;3
71;21;17;2;2
72;19;19;0;0
73;19;17;0;2
74;20;16;2;2
75;20;14;2;4
76;20;12;2;6
77;19;10;0;9
78;19;10;2;7
79;18;10;2;6
80;18;11;2;5
81;18;13;0;5
82;17;13;0;4
83;19;11;4;4
84;17;12;2;3
85;17;12;2;3
86;17;14;0;3
87;19;12;4;3
88;19;12;4;3
89;20;11;6;3
90;20;15;2;3
91;21;14;4;3
92;22;15;4;3
93;22;15;4;3
94;24;15;6;3
95;25;16;6;3
96;25;16;6;3
97;26;19;4;3
98;26;21;2;3
99;28;19;6;3
100;28;20;5;3
101;28;19;6;3
102;27;18;6;3
103;28;19;6;3
104;27;21;4;2
105;27;23;2;2
106;28;24;2;2
107;29;20;4;5
108;28;20;3;5
109;28;21;2;5
110;29;23;2;4
111;28;24;2;2
112;26;24;0;2
113;27;21;2;4
114;27;21;2;4
115;28;20;4;4
116;30;19;6;5
117;30;20;6;4
118;30;21;4;5
119;30;25;0;5
120;31;24;2;5
121;31;24;2;5
122;34;21;8;5
123;35;22;8;5
124;35;22;8;5
125;34;25;4;5
126;32;24;3;5
127;29;25;1;3
128;29;24;2;3
129;29;24;2;3
130;29;24;2;3
131;29;26;0;3
132;29;25;2;2
133;29;25;2;2
134;30;24;4;2
135;31;25;4;2
136;30;25;3;2
137;30;24;4;2
138;30;26;2;2
139;30;26;2;2
140;32;26;4;2
141;32;26;4;2
142;33;25;6;2
143;34;28;4;2
144;35;27;6;2
145;35;29;4;2
146;36;30;4;2
147;36;30;4;2
148;37;26;4;7
149;35;28;2;5
150;34;28;2;4
151;34;30;0;4
152;34;30;0;4
153;35;29;2;4
154;36;28;4;4
155;36;28;4;4
156;37;29;4;4
157;38;30;4;4
158;38;30;4;4
159;38;32;2;4
160;39;34;2;3
161;41;32;6;3
162;41;32;6;3
163;41;34;4;3
164;41;38;0;3

TOTAL_TIME_TICKS;Winner;Reason
33061;1;3
