PROFILER_ID;TIMESTAMP;Players;Spectators
2;0;4;0

TIME;Total;Adult;Child;Infected
1;10;10;0;0
2;10;10;0;0
3;10;10;0;0
4;10;10;0;0
5;10;10;0;0
6;11;9;2;0
7;12;10;2;0
8;12;12;0;0
9;14;10;4;0
10;17;11;6;0
11;19;15;4;0
12;21;17;4;0
13;25;17;8;0
14;27;23;4;0
15;30;24;6;0
16;33;27;6;0
17;37;29;8;0

GAME_DURATION;WINNER;REASON
7045;2;1
