PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients
14;10;120;600;10;15;0;10;-4;5;15;5

TIME;Players;Spectators
0;4;0

TIME;Total;Adult;Child;Infected
1;15;15;0;0
2;15;15;0;0
3;15;15;0;0
4;15;15;0;0
5;15;13;2;0
6;17;13;4;0
7;18;16;2;0
8;19;14;2;3
9;20;15;2;3
10;20;17;0;3
11;19;15;0;4
12;19;15;0;4
13;20;14;2;4
14;21;15;2;4
15;23;15;4;4
16;23;19;0;4
17;24;18;2;4
18;25;19;2;4
19;25;21;0;4
20;26;20;2;4
21;27;16;2;9
22;27;18;0;9
23;26;16;2;8
24;27;17;2;8
25;28;18;2;8
26;29;19;2;8
27;29;21;0;8
28;29;19;2;8
29;31;19;4;8
30;31;23;0;8
31;32;22;2;8
32;33;23;2;8
33;33;22;0;11
34;34;21;2;11
35;34;21;2;11
36;34;23;0;11
37;35;22;2;11
38;34;23;0;11
39;35;22;2;11
40;37;22;4;11
41;38;25;2;11

TOTAL_TIME_TICKS;Winner;Reason
16794;2;2
