PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
21;10;180;600;20;20;6;3;-1;3;25;2;6;4;0;3;5;40;20

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;3;0;1;1;1

TIME;Total;Adult;Child;Infected
1;20;20;0;0
2;20;20;0;0
3;20;20;0;0
4;19;19;0;0
5;19;19;0;0
6;19;19;0;0
7;19;19;0;0
8;19;19;0;0
9;19;17;2;0
10;19;19;0;0
11;20;18;2;0
12;20;18;2;0
13;21;19;2;0
14;22;20;2;0
15;22;20;2;0
16;23;21;2;0
17;22;22;0;0
18;22;22;0;0
19;22;20;2;0
20;22;20;2;0
21;24;20;4;0
22;25;19;6;0
23;26;22;4;0
24;27;25;2;0
25;27;25;2;0
26;27;27;0;0
27;27;21;0;6
28;27;21;0;6
29;28;20;2;6
30;28;20;2;6
31;28;22;0;6
32;28;22;0;6
33;28;22;0;6
34;29;21;2;6
35;29;17;2;10
36;30;17;2;11
37;31;18;2;11
38;32;16;2;14
39;32;16;2;14
40;31;18;0;13
41;30;18;0;12
42;30;18;0;12
43;30;16;4;10
44;30;15;0;15
45;31;14;2;15
46;30;12;2;16
47;30;14;0;16
48;31;13;2;16
49;32;14;2;16
50;32;14;2;16
51;33;15;2;16
52;33;15;2;16
53;33;16;2;15
54;34;17;2;15
55;33;19;0;14
56;33;19;0;14
57;32;19;0;13
58;32;19;0;13
59;31;19;0;12
60;31;19;0;12
61;32;18;2;12
62;32;20;0;12
63;33;19;2;12
64;34;18;4;12
65;34;20;2;12
66;35;21;2;12
67;35;21;2;12
68;35;23;0;12
69;37;21;4;12
70;37;23;2;12
71;37;25;0;12
72;37;25;0;12
73;38;24;2;12
74;38;24;2;12
75;38;26;0;12
76;39;24;4;11
77;38;28;0;10
78;38;27;2;9
79;38;27;2;9
80;38;29;0;9
81;39;28;2;9
82;39;30;0;9
83;41;28;4;9
84;41;30;2;9
85;41;32;0;9
86;40;24;0;16
87;40;23;2;15
88;40;25;0;15
89;41;24;2;15
90;41;24;2;15
91;42;25;2;15
92;43;26;2;15
93;41;26;2;13
94;40;27;2;11
95;39;29;0;10
96;39;25;4;10
97;38;27;2;9
98;38;29;0;9
99;38;29;0;9
100;39;28;2;9
101;38;27;0;11
102;38;27;0;11
103;39;26;2;11
104;39;28;0;11
105;38;27;0;11
106;39;26;2;11
107;39;26;2;11
108;40;26;4;10
109;39;28;2;9
110;39;23;2;14
111;39;25;0;14
112;40;22;2;16

TOTAL_TIME_TICKS;Winner;Reason
22706;2;2
